Municipio;UF;Regiao;Ano;Populacao;PessoalOcupado;PessoalAssalariado;PIB;QtEmpresas;AreaPlantada_h;VlProducaoAgricola;VlProducaoPecuaria;Area;NrNascimentos;NrObitosInfantis;povoamento;Exportacoes_R$
Abadia de Goiás;GO;Centro-Oeste;2018,5;8622,0;2031,83;1629,67;212716800,0;340,17;6666,67;13000,0;5333,33;146,8;219,5;4,0;58,73;139369,21
Abadia dos Dourados;MG;Sudeste;2018,5;7014,17;1965,17;1535,0;149000200,0;360,5;35000,0;40000,0;42666,67;881,1;56,5;0,67;7,96;0,0
Abadiânia;GO;Centro-Oeste;2018,5;19698,67;2411,17;2059,67;336107600,0;317,17;145000,0;53000,0;32666,67;1045,1;186,5;3,33;18,85;93545,81
Abaetetuba;PA;Norte;2018,5;156470,5;10769,33;9597,5;1429141200,0;444,69;563333,33;376666,67;0,0;1610,6;2,64;39,5;97,15;291258,09
Abaeté;MG;Sudeste;2018,5;23359,67;4173,0;3322,17;484986600,0;617,33;36666,67;29833,33;141166,67;1817,1;232,5;2,83;12,86;111538,16
Abaiara;CE;Nordeste;2018,5;11717,67;872,33;801,83;91513200,0;65,17;40000,0;4000,0;5000,0;178,8;141,17;1,83;65,54;0,0
Abaré;BA;Nordeste;2018,5;20161,5;1114,83;1012,17;144647200,0;86,67;56666,67;40833,33;0,0;1485,0;288,5;5,17;13,58;499584,4
Abatiá;PR;Sul;2018,5;7549,17;1167,33;778,5;186416000,0;254,0;540000,0;87500,0;4833,33;228,7;100,33;1,33;33,01;0,0
Abaíra;BA;Nordeste;2018,5;8884,67;715,83;539,17;62475600,0;184,0;0,0;12500,0;0,0;530,5;47,83;0,83;16,75;0,0
Abdon Batista;SC;Sul;2018,5;2573,83;505,67;419,83;64087000,0;85,83;21666,67;51500,0;2166,67;235,6;29,17;0,0;10,92;0,0
Abel Figueiredo;PA;Norte;2018,5;7374,67;707,5;636,67;84019600,0;67,17;58333,33;16500,0;4166,67;614,3;125,17;2,83;12,0;47674,13
Abelardo Luz;SC;Sul;2018,5;17892,5;2437,67;2022,17;674410600,0;504,17;778333,33;403833,33;42000,0;955,4;299,0;3,67;18,73;29542,63
Abre Campo;MG;Sudeste;2018,5;13542,67;1972,5;1522,17;198303600,0;352,0;53333,33;66500,0;37500,0;470,6;159,17;0,83;28,78;0,0
Abreu e Lima;PE;Nordeste;2018,5;99835,0;10942,33;9937,83;1749704200,0;854,0;0,0;5500,0;3833,33;130,3;1,4;13,83;766,19;278542117,35
Abreulândia;TO;Norte;2018,5;2578,67;248,33;214,0;57385800,0;27,83;371666,67;82500,0;4166,67;1895,2;34,33;0,83;1,36;0,0
Acaiaca;MG;Sudeste;2018,5;4017,17;1214,17;1052,5;46686400,0;57,33;0,0;1833,33;4500,0;101,9;44,83;0,67;39,42;0,0
Acajutiba;BA;Nordeste;2018,5;15363,33;974,17;864,83;127566000,0;102,0;38333,33;49333,33;1333,33;193,4;175,5;4,67;79,44;0,0
Acarapé;CE;Nordeste;2018,5;15577,5;2030,17;1903,0;140219800,0;118,5;50000,0;3666,67;2000,0;160,3;203,67;4,5;97,18;354863,68
Acaraú;CE;Nordeste;2018,5;62628,67;4693,83;3991,17;665591200,0;580,17;348333,33;46166,67;4000,0;842,6;162,53;13,5;74,33;17311343,07
Acari;RN;Nordeste;2018,5;11197,67;1101,33;2439,67;123009800,0;155,17;0,0;4833,33;20166,67;608,6;106,33;1,67;18,4;28852,51
Acará;PA;Norte;2018,5;55115,5;3619,67;3459,83;854463000,0;138,17;653333,33;567166,67;3166,67;4343,8;812,5;15,33;12,69;838740,04
Acauã;PI;Nordeste;2018,5;7047,83;308,67;274,83;51996400,0;78,33;43333,33;3833,33;4833,33;1279,6;90,67;1,83;5,51;0,0
Aceguá;RS;Sul;2018,5;4862,0;905,5;697,5;257136000,0;173,67;715000,0;375000,0;62500,0;1549,4;55,83;1,0;3,14;18898,31
Acopiara;CE;Nordeste;2018,5;54049,83;3032,5;2649,33;427740200,0;361,33;431666,67;30666,67;31166,67;2253,8;572,67;8,0;23,98;232092,37
Acorizal;MT;Centro-Oeste;2018,5;5339,33;491,67;422,5;81794800,0;63,5;0,0;4666,67;3000,0;840,6;62,5;0,83;6,35;3005151,68
Acrelândia;AC;Norte;2018,5;14995,5;828,33;714,5;255597800,0;105,67;68333,33;57000,0;4833,33;1807,9;239,83;1,5;8,29;0,0
Acreúna;GO;Centro-Oeste;2018,5;22297,5;2854,67;2473,5;688243000,0;341,33;6425000,0;381134,0;5166,67;1566,0;256,0;4,33;14,24;15801886,85
Adamantina;SP;Sudeste;2018,5;35098,0;11650,0;9468,17;1107881200,0;1,7;668333,33;196333,33;4333,33;411,4;367,67;3,33;85,31;2361977,83
Adelândia;GO;Centro-Oeste;2018,5;2531,5;446,83;399,17;36925400,0;47,83;1666,67;4666,67;16833,33;115,4;23,17;0,33;21,94;0,0
Adolfo;SP;Sudeste;2018,5;3576,17;654,0;550,17;106813600,0;86,67;170000,0;170000,0;166,67;211,1;43,0;0,33;16,94;12306,67
Adrianópolis;PR;Sul;2018,5;6017,17;938,17;793,33;251144200,0;125,0;51666,67;60166,67;5333,33;1349,3;76,5;0,33;4,46;18609094,32
Adustina;BA;Nordeste;2018,5;17127,0;939,17;773,17;162416600,0;86,0;8333,33;111833,33;5166,67;632,1;160,5;3,0;27,1;0,0
Afogados da Ingazeira;PE;Nordeste;2018,5;37200,5;3313,0;2668,67;432046000,0;566,83;50000,0;4166,67;6833,33;377,7;582,5;7,17;98,49;109932,61
Afonso Bezerra;RN;Nordeste;2018,5;11091,17;719,33;641,67;103431200,0;70,83;31666,67;13833,33;0,0;576,2;112,83;0,83;19,25;301019,17
Afonso Cláudio;ES;Sudeste;2018,5;31142,5;3937,0;3197,17;459614600,0;536,67;578333,33;227333,33;16666,67;954,7;396,17;3,67;32,62;56670,31
Afonso Cunha;MA;Nordeste;2018,5;6518,17;277,33;257,17;51132200,0;18,5;208333,33;53000,0;49500,0;371,3;116,83;2,0;17,56;0,0
Afrânio;PE;Nordeste;2018,5;19586,33;1808,67;1655,17;184877000,0;141,0;8333,33;13833,33;29000,0;1490,6;260,0;6,0;13,14;2768636,48
Afuá;PA;Norte;2018,5;38913,33;2363,5;2298,83;368282000,0;46,83;0,0;3500,0;0,0;8372,8;474,35;14,17;4,65;0,0
Agrestina;PE;Nordeste;2018,5;24831,67;2125,67;1894,5;263824000,0;225,17;0,0;2000,0;15666,67;201,4;342,33;4,17;123,3;183793,44
Agricolândia;PI;Nordeste;2018,5;5112,0;198,0;156,0;37074800,0;39,17;30000,0;19666,67;0,0;112,4;72,0;1,0;45,48;0,0
Agrolândia;SC;Sul;2018,5;10792,67;3457,0;2853,17;258996400,0;484,33;80000,0;36000,0;48500,0;207,1;139,0;1,17;52,11;3600549,16
Agronômica;SC;Sul;2018,5;5453,33;1324,17;967,17;160289200,0;258,83;41666,67;62666,67;6666,67;130,0;69,83;0,33;41,95;5113183,33
Aguanil;MG;Sudeste;2018,5;4476,5;697,5;570,0;63572200,0;94,33;56666,67;38500,0;14500,0;232,1;41,5;1,0;19,29;0,0
Aguaí;SP;Sudeste;2018,5;36097,5;6542,67;5521,67;1004598200,0;836,17;308333,33;631833,33;29000,0;474,7;407,83;5,33;76,04;155293212,61
Agudo;RS;Sul;2018,5;16652,83;2750,0;2135,67;503103800,0;468,0;546666,67;390333,33;5333,33;536,1;161,17;0,5;31,06;120371,51
Agudos;SP;Sudeste;2018,5;37134,0;6845,5;5734,5;2128001600,0;891,0;468333,33;220833,33;25666,67;966,2;523,5;9,0;38,43;180111940,43
Agudos do Sul;PR;Sul;2018,5;9318,5;1050,0;861,33;197118200,0;156,17;33333,33;43000,0;4333,33;192,2;128,67;1,33;48,48;0,0
Aguiar;PB;Nordeste;2018,5;4754,17;761,33;648,67;48772400,0;42,83;0,0;0,0;5833,33;344,7;57,33;0,33;16,24;0,0
Aguiarnópolis;TO;Norte;2018,5;6668,83;1254,17;1210,33;141574000,0;43,5;0,0;31166,67;0,0;235,4;74,17;0,67;28,33;68368,27
Aimorés;MG;Sudeste;2018,5;25338,5;3122,5;2114,83;466371400,0;459,83;46666,67;49166,67;58833,33;1348,8;316,83;3,17;18,79;0,0
Aiquara;BA;Nordeste;2018,5;4532,83;946,5;890,83;44971400,0;27,67;33333,33;21000,0;3166,67;159,7;52,67;0,67;28,38;0,0
Aiuaba;CE;Nordeste;2018,5;17345,17;918,83;847,33;119974400,0;75,83;66666,67;10500,0;5000,0;2434,4;181,0;2,5;7,12;0,0
Aiuruoca;MG;Sudeste;2018,5;6065,5;736,0;582,83;98703200,0;115,17;30000,0;27000,0;36166,67;649,7;51,33;0,5;9,34;17970,57
Ajuricaba;RS;Sul;2018,5;7125,83;1300,17;2450,67;290461400,0;274,0;526666,67;198833,33;43500,0;323,2;66,17;0,5;22,05;0,0
Alagoa;MG;Sudeste;2018,5;2697,83;417,83;356,83;37652000,0;36,67;601666,67;4666,67;39500,0;161,4;23,17;0,5;16,72;0,0
Alagoa Grande;PB;Nordeste;2018,5;28518,5;1986,67;1768,83;264060000,0;226,83;56666,67;35333,33;3833,33;320,6;396,0;5,5;88,95;0,0
Alagoa Nova;PB;Nordeste;2018,5;20772,67;1479,5;1355,17;284371800,0;128,17;53333,33;68166,67;4666,67;122,3;323,17;6,0;169,85;0,0
Alagoinha;PB;Nordeste;2018,5;14480,83;818,0;727,17;111126200,0;93,0;48333,33;5666,67;4333,33;97,0;222,67;1,83;149,29;0,0
Alagoinha;PE;Nordeste;2018,5;14609,0;2208,67;2042,67;132480200,0;64,83;0,0;1666,67;12000,0;217,8;195,67;3,33;67,08;0,0
Alagoinha do Piauí;PI;Nordeste;2018,5;7611,83;289,5;244,83;55208000,0;49,67;46666,67;15500,0;1333,33;533,0;85,83;1,33;14,28;0,0
Alagoinhas;BA;Nordeste;2018,5;153186,5;25928,67;23023,67;3888630000,0;2,27;46666,67;54833,33;5500,0;752,4;2,25;33,5;203,6;370102179,96
Alambari;SP;Sudeste;2018,5;5952,5;966,83;775,17;104064200,0;156,5;16666,67;55333,33;40000,0;159,3;72,17;0,83;37,37;610722,12
Albertina;MG;Sudeste;2018,5;3020,33;341,33;271,83;81128200,0;61,83;10000,0;51500,0;1166,67;58,0;26,0;0,17;52,07;641838,11
Alcantil;PB;Nordeste;2018,5;5495,83;448,0;416,17;43058000,0;39,83;5000,0;23166,67;4333,33;305,4;107,67;1,0;18,0;0,0
Alcinópolis;MS;Centro-Oeste;2018,5;5303,17;550,17;447,0;179441800,0;86,17;488333,33;69000,0;5833,33;4399,7;48,17;0,83;1,21;0,0
Alcobaça;BA;Nordeste;2018,5;22770,83;1594,67;1388,5;275614200,0;176,83;43333,33;39000,0;2833,33;1481,3;318,33;4,5;15,37;312491,83
Alcântara;MA;Nordeste;2018,5;21959,67;971,17;888,33;124273600,0;98,33;41666,67;4000,0;0,0;1486,7;213,17;2,17;14,77;0,0
Alcântaras;CE;Nordeste;2018,5;11620,0;1022,33;942,83;75567600,0;69,33;71666,67;5500,0;0,0;138,6;139,83;1,83;83,84;0,0
Aldeias Altas;MA;Nordeste;2018,5;26512,0;1440,5;1384,83;187690000,0;59,5;41666,67;46000,0;32000,0;1942,1;428,0;6,5;13,65;0,0
Alecrim;RS;Sul;2018,5;6183,17;583,17;414,17;114063800,0;138,83;28333,33;48000,0;74833,33;314,7;51,5;0,33;19,65;0,0
Alegre;ES;Sudeste;2018,5;30802,83;4092,0;3042,17;485949800,0;725,67;65000,0;33666,67;25333,33;772,7;377,67;4,0;39,86;67475,56
Alegrete;RS;Sul;2018,5;74921,67;10214,17;8275,0;2096307000,0;1,67;1528333,33;449333,33;49166,67;7804,0;854,0;8,67;9,6;2494420,28
Alegrete do Piauí;PI;Nordeste;2018,5;4889,83;301,33;251,67;40175400,0;48,83;30000,0;17000,0;0,0;282,7;58,33;0,83;17,3;0,0
Alegria;RS;Sul;2018,5;3634,33;404,17;282,33;112755400,0;83,83;580000,0;42166,67;52333,33;172,7;34,67;0,17;21,04;0,0
Alenquer;PA;Norte;2018,5;56326,17;3020,5;2716,33;620204400,0;251,33;651666,67;314500,0;16000,0;23645,4;1,12;29,17;2,38;0,0
Alexandria;RN;Nordeste;2018,5;13654,5;1052,67;873,83;139042400,0;186,83;153333,33;0,0;4166,67;381,2;171,67;1,0;35,82;133970,37
Alexânia;GO;Centro-Oeste;2018,5;27423,0;3714,33;3198,0;1010616800,0;548,5;256666,67;117833,33;51500,0;847,9;417,67;5,33;32,34;6909930,16
Alfenas;MG;Sudeste;2018,5;79978,83;23287,17;19474,17;2576238400,0;2,58;468333,33;319500,0;41166,67;850,4;657,17;11,17;94,05;322234932,31
Alfredo Chaves;ES;Sudeste;2018,5;14764,0;4127,5;2794,5;348779000,0;863,33;40000,0;481166,67;22000,0;615,6;137,17;1,17;23,98;55449,11
Alfredo Marcondes;SP;Sudeste;2018,5;4158,5;1035,0;912,0;87754000,0;108,5;0,0;2833,33;1833,33;118,4;47,17;1,5;35,12;32291864,05
Alfredo Vasconcelos;MG;Sudeste;2018,5;6875,83;1997,83;1574,83;102214400,0;122,67;0,0;8000,0;2666,67;130,8;75,5;1,5;52,57;0,0
Alfredo Wagner;SC;Sul;2018,5;10017,83;1490,17;1077,17;258108200,0;316,33;33333,33;524500,0;19833,33;732,3;109,17;1,33;13,68;3692,0
Algodão de Jandaíra;PB;Nordeste;2018,5;2534,83;350,67;342,17;25529600,0;15,0;133333,33;25000,0;0,0;220,2;51,67;0,5;11,51;0,0
Alhandra;PB;Nordeste;2018,5;19593,67;3405,5;3184,17;1552748400,0;174,83;28333,33;58000,0;166,67;182,7;398,33;3,5;107,25;51475484,69
Aliança;PE;Nordeste;2018,5;38349,0;3564,5;3268,17;316866200,0;268,5;450000,0;40166,67;4833,33;272,8;508,33;7,0;140,58;0,0
Aliança do Tocantins;TO;Norte;2018,5;5427,5;517,67;438,33;115760200,0;85,17;46666,67;29666,67;5000,0;1579,7;73,33;0,83;3,44;0,0
Almadina;BA;Nordeste;2018,5;5619,33;375,83;322,17;53905600,0;38,33;45000,0;23000,0;4000,0;251,1;61,17;1,67;22,38;0,0
Almas;TO;Norte;2018,5;7113,83;660,33;563,5;155977800,0;83,17;535000,0;104000,0;10500,0;4013,2;115,83;1,17;1,77;62295,4
Almeirim;PA;Norte;2018,5;33808,0;4650,83;4269,67;603765600,0;333,33;11666,67;22500,0;4833,33;72954,5;769,0;12,33;0,46;46086312,05
Almenara;MG;Sudeste;2018,5;41901,17;5325,33;4440,0;549532800,0;730,5;10000,0;3500,0;7833,33;2294,4;568,0;7,5;18,26;100484,88
Almino Afonso;RN;Nordeste;2018,5;4770,17;244,33;196,33;39916800,0;48,5;0,0;833,33;5166,67;128,0;53,5;0,67;37,27;0,0
Almirante Tamandaré;PR;Sul;2018,5;117790,83;14775,83;12273,33;1556751000,0;1,93;43333,33;38333,33;4000,0;194,7;1,69;14,0;604,99;115845499,01
Almirante Tamandaré do Sul;RS;Sul;2018,5;1998,5;510,0;444,83;156300000,0;67,67;446666,67;166333,33;53833,33;265,4;18,67;0,17;7,53;1012732,64
Aloândia;GO;Centro-Oeste;2018,5;2018,0;252,67;208,83;44314200,0;39,17;28333,33;27833,33;5333,33;102,2;18,0;0,0;19,75;0,0
Alpercata;MG;Sudeste;2018,5;7455,17;810,17;673,0;81442200,0;95,17;91666,67;4500,0;9666,67;167,0;91,83;0,83;44,64;3944,76
Alpestre;RS;Sul;2018,5;6605,67;876,5;662,33;507481800,0;211,0;38333,33;39333,33;24333,33;328,8;66,0;0,5;20,09;202,59
Alpinópolis;MG;Sudeste;2018,5;19867,0;2834,83;2190,83;382710000,0;525,5;341666,67;188166,67;172666,67;454,8;219,0;2,5;43,68;0,0
Alta Floresta;MT;Centro-Oeste;2018,5;51288,67;13288,5;11089,33;1579675200,0;1,63;633333,33;488166,67;70166,67;9212,5;898,17;13,0;5,57;1076214,21
Alta Floresta DOeste;RO;Norte;2018,5;23716,5;3027,67;2391,5;505723600,0;478,5;658333,33;365166,67;4833,33;7067,0;357,5;3,33;3,36;99571,35
Altair;SP;Sudeste;2018,5;4147,5;556,17;453,5;144994200,0;109,33;453333,33;469000,0;5666,67;313,9;43,17;0,33;13,21;1368231,53
Altamira;PA;Norte;2018,5;113741,83;15984,83;13705,67;2610975800,0;1,75;573333,33;376000,0;20166,67;159533,4;2,47;39,17;0,71;357951,71
Altamira do Maranhão;MA;Nordeste;2018,5;8485,5;295,33;274,0;59137200,0;21,5;41666,67;2166,67;0,0;721,5;83,17;1,0;11,76;0,0
Altamira do Paraná;PR;Sul;2018,5;2225,5;450,5;368,5;75366000,0;55,0;61666,67;12666,67;5500,0;386,9;54,67;0,33;5,75;0,0
Altaneira;CE;Nordeste;2018,5;7560,17;636,67;594,83;54712600,0;42,33;25000,0;2833,33;1166,67;73,3;113,17;0,67;103,14;0,0
Alterosa;MG;Sudeste;2018,5;14501,33;1626,83;1225,67;220212600,0;298,33;43333,33;134833,33;19666,67;362,0;163,67;1,0;40,06;0,0
Altinho;PE;Nordeste;2018,5;22948,83;1272,17;1115,0;165397200,0;182,5;41666,67;3166,67;3666,67;454,5;251,5;3,83;50,49;0,0
Altinópolis;SP;Sudeste;2018,5;16198,33;3434,33;2635,83;533667000,0;614,67;208333,33;413166,67;4333,33;929,8;182,17;2,5;17,42;218133,77
Alto Alegre;RR;Norte;2018,5;15627,17;2212,33;2061,33;304857000,0;48,83;306666,67;172166,67;3666,67;25567,0;683,17;27,17;0,61;0,0
Alto Alegre;RS;Sul;2018,5;1687,0;286,83;215,0;62655600,0;72,17;51666,67;45333,33;49666,67;114,4;16,33;0,0;14,75;0,0
Alto Alegre;SP;Sudeste;2018,5;4115,5;518,17;345,0;111302200,0;166,67;316666,67;61666,67;7000,0;319,0;37,17;0,83;12,9;0,0
Alto Alegre do Maranhão;MA;Nordeste;2018,5;27217,83;1345,0;1212,83;242508000,0;110,83;0,0;0,0;0,0;383,3;423,83;5,33;71,01;0,0
Alto Alegre do Pindaré;MA;Nordeste;2018,5;31723,0;1192,83;1049,33;196871000,0;89,33;5000,0;3333,33;3500,0;1932,3;480,33;6,67;16,42;0,0
Alto Alegre dos Parecis;RO;Norte;2018,5;13504,83;1038,17;855,83;289927600,0;138,0;350000,0;326166,67;4333,33;3958,3;157,17;0,67;3,41;0,0
Alto Araguaia;MT;Centro-Oeste;2018,5;18808,5;2256,0;1870,83;889498800,0;383,17;570000,0;636500,0;15500,0;5514,5;207,33;1,67;3,41;473454640,15
Alto Bela Vista;SC;Sul;2018,5;1945,0;350,67;287,67;57887600,0;55,5;18333,33;5333,33;30500,0;103,6;16,67;0,0;18,77;2056492,28
Alto Boa Vista;MT;Centro-Oeste;2018,5;6713,83;478,17;381,0;125214400,0;78,17;611666,67;195000,0;5500,0;2240,4;82,5;1,67;3,0;0,0
Alto Caparaó;MG;Sudeste;2018,5;5836,17;611,33;487,83;76086800,0;107,33;60000,0;66500,0;0,0;103,7;82,33;0,33;56,28;0,0
Alto Feliz;RS;Sul;2018,5;3033,17;768,17;627,83;100865200,0;107,17;0,0;20666,67;46666,67;79,2;27,33;0,33;38,3;2606329,53
Alto Garças;MT;Centro-Oeste;2018,5;11881,17;1195,67;941,33;650086800,0;225,33;5448333,33;449333,33;6166,67;3748,1;141,83;0,67;3,17;2882142,76
Alto Horizonte;GO;Centro-Oeste;2018,5;6241,0;2127,83;1933,0;768345000,0;151,0;0,0;4666,67;6333,33;503,8;109,83;1,17;12,39;90408226,77
Alto Jequitibá;MG;Sudeste;2018,5;8380,67;788,5;635,17;104279600,0;148,0;51666,67;45000,0;0,0;152,3;105,0;1,17;55,03;0,0
Alto Longá;PI;Nordeste;2018,5;14232,0;779,0;660,0;100736400,0;114,0;66666,67;4000,0;4333,33;1737,8;131,17;1,5;8,19;0,0
Alto Paraguai;MT;Centro-Oeste;2018,5;11231,5;425,83;369,0;121085800,0;59,5;298333,33;35333,33;6000,0;1846,3;86,67;0,67;6,08;0,0
Alto Paraiso;PR;Sul;2018,5;2815,0;525,83;427,17;92129400,0;79,17;66666,67;55000,0;2666,67;967,8;46,5;0,5;2,91;0,0
Alto Paraná;PR;Sul;2018,5;14758,67;2321,67;1688,17;325049800,0;466,17;125000,0;288666,67;17166,67;407,7;176,0;2,0;36,2;61172,65
Alto Paraíso;RO;Norte;2018,5;21336,17;1463,67;1153,83;335629000,0;228,17;423333,33;239000,0;13333,33;2651,8;224,83;3,83;8,05;0,0
Alto Paraíso de Goiás;GO;Centro-Oeste;2018,5;7598,17;1577,83;1241,67;191959400,0;385,83;650000,0;105833,33;3666,67;2593,9;131,83;2,0;2,93;1530354,83
Alto Parnaíba;MA;Nordeste;2018,5;11130,5;940,5;802,33;330582400,0;124,17;405000,0;362333,33;4500,0;11132,1;177,0;3,83;1,0;0,0
Alto Piquiri;PR;Sul;2018,5;9951,17;952,5;756,17;292968200,0;157,17;290000,0;500333,33;37333,33;447,7;133,33;1,5;22,23;5005513,25
Alto Rio Doce;MG;Sudeste;2018,5;11202,17;922,5;692,67;162809800,0;184,33;50000,0;30833,33;57166,67;518,1;101,0;1,67;21,62;0,0
Alto Rio Novo;ES;Sudeste;2018,5;7903,33;757,33;568,83;89669000,0;162,17;70000,0;46500,0;6166,67;227,7;97,67;1,0;34,71;0,0
Alto Santo;CE;Nordeste;2018,5;16903,0;1607,5;1322,33;163637000,0;184,5;140000,0;24833,33;27000,0;1338,2;187,0;3,0;12,63;0,0
Alto Taquari;MT;Centro-Oeste;2018,5;10693,17;1332,83;1077,33;946828200,0;211,33;4405000,0;549999,83;3333,33;1416,5;166,67;1,33;7,55;0,0
Alto do Rodrigues;RN;Nordeste;2018,5;14502,33;2334,83;2117,17;463004600,0;186,67;66666,67;44833,33;0,0;191,3;169,33;1,17;75,81;4475046,69
Altos;PI;Nordeste;2018,5;40318,17;3222,67;2707,33;413335000,0;440,0;45000,0;4500,0;2333,33;957,7;637,83;10,67;42,1;20207045,88
Altônia;PR;Sul;2018,5;22052,17;3576,33;2887,17;372438800,0;513,83;350000,0;52666,67;43166,67;661,6;246,0;2,83;33,33;3052328,81
Alumínio;SP;Sudeste;2018,5;18550,0;2156,67;1864,17;2078351600,0;237,5;0,0;6500,0;0,0;83,8;231,5;3,67;221,36;62474956,16
Alvarenga;MG;Sudeste;2018,5;3991,83;356,83;307,33;41201000,0;40,33;13333,33;6333,33;5666,67;278,2;54,5;0,67;14,35;0,0
Alvarães;AM;Norte;2018,5;16025,67;819,0;779,33;172915800,0;43,67;51666,67;47666,67;77500,0;5911,8;388,67;8,67;2,71;0,0
Alvinlândia;SP;Sudeste;2018,5;3215,67;335,17;245,5;54032400,0;79,5;63333,33;53166,67;0,0;84,8;41,67;0,67;37,92;0,0
Alvinópolis;MG;Sudeste;2018,5;15325,67;2398,17;2012,67;288854400,0;281,83;0,0;2666,67;32333,33;599,4;145,0;1,5;25,57;1320139,92
Alvorada;RS;Sul;2018,5;209798,5;19138,0;15377,83;2748874800,0;2,82;428333,33;12000,0;41166,67;71,3;2,9;36,17;2942,48;80770885,57
Alvorada;TO;Norte;2018,5;8443,0;1149,17;887,67;328758800,0;275,5;638333,33;210500,0;6833,33;1212,2;122,83;1,33;6,96;11682726,24
Alvorada DOeste;RO;Norte;2018,5;15115,83;1422,33;1149,33;260397400,0;201,17;46666,67;30000,0;43333,33;3029,2;186,83;1,0;4,99;0,0
Alvorada de Minas;MG;Sudeste;2018,5;3627,33;435,5;381,67;50301400,0;41,5;0,0;3166,67;19833,33;374,0;54,67;1,5;9,7;0,0
Alvorada do Gurguéia;PI;Nordeste;2018,5;5392,33;408,83;363,0;66822600,0;29,67;148333,33;62500,0;0,0;2132,0;78,33;1,33;2,53;0,0
Alvorada do Norte;GO;Centro-Oeste;2018,5;8661,83;685,5;3313,5;132023000,0;212,83;53333,33;42833,33;2500,0;1259,4;135,33;2,17;6,88;0,0
Alvorada do Sul;PR;Sul;2018,5;11366,33;1684,33;1277,0;273879600,0;274,67;301666,67;510500,0;0,0;424,3;105,0;0,5;26,79;43530,57
Além Paraíba;MG;Sudeste;2018,5;35530,5;7025,5;4346,17;875947600,0;2,22;391666,67;2000,0;3833,33;510,4;394,0;7,33;69,61;389368,73
Amajari;RR;Norte;2018,5;12463,5;543,0;523,33;170054400,0;20,17;36666,67;14666,67;4000,0;28472,3;399,17;18,33;0,44;0,0
Amambaí;MS;Centro-Oeste;2018,5;39153,67;5129,17;4324,17;1010784600,0;680,67;5168333,33;515781,17;4500,0;4202,3;636,33;12,67;9,32;1745563,4
Amaporã;PR;Sul;2018,5;6213,0;583,67;488,33;133716000,0;80,83;448333,33;67833,33;3166,67;384,7;74,83;0,33;16,15;0,0
Amapá;AP;Norte;2018,5;9006,17;1227,5;1104,67;152578000,0;53,17;0,0;2666,67;5166,67;9175,9;164,5;1,83;0,98;0,0
Amapá do Maranhão;MA;Nordeste;2018,5;6945,17;315,5;285,0;51064200,0;39,67;0,0;1500,0;5833,33;502,4;128,17;1,17;13,82;0,0
Amaraji;PE;Nordeste;2018,5;22801,33;2187,83;2027,67;228145200,0;149,83;36666,67;76166,67;4833,33;235,0;285,17;2,67;97,03;85763,27
Amaral Ferrador;RS;Sul;2018,5;6982,83;480,33;388,67;109874800,0;81,67;33333,33;42666,67;2333,33;506,5;52,5;0,83;13,79;0,0
Amaralina;GO;Centro-Oeste;2018,5;3797,83;244,67;220,17;66114000,0;27,67;41666,67;42000,0;3833,33;1343,2;21,83;0,17;2,83;4547,79
Amarante;PI;Nordeste;2018,5;17507,0;2429,17;3041,33;148238600,0;187,83;53333,33;15333,33;1666,67;1155,2;285,17;5,0;15,16;0,0
Amarante do Maranhão;MA;Nordeste;2018,5;41363,17;1534,83;1388,83;302664600,0;148,0;36666,67;5833,33;23500,0;7438,0;804,33;14,5;5,56;0,0
Amargosa;BA;Nordeste;2018,5;37607,33;3626,33;3009,67;374096400,0;480,0;41666,67;47000,0;3833,33;463,2;456,0;6,33;81,19;291889,52
Amaturá;AM;Norte;2018,5;11471,17;547,33;532,83;85586200,0;18,17;0,0;4500,0;0,0;4758,7;268,17;5,67;2,41;0,0
Americana;SP;Sudeste;2018,5;238097,67;81548,83;65444,5;11340044800,0;11,48;0,0;21833,33;0,0;133,4;2,55;22,17;1784,84;1983786398,97
Americano do Brasil;GO;Centro-Oeste;2018,5;6089,83;582,5;433,17;75622000,0;128,5;41666,67;4500,0;19166,67;133,6;79,0;1,17;45,58;59283,11
Ametista do Sul;RS;Sul;2018,5;7462,17;1297,5;981,5;117511000,0;245,83;56666,67;51166,67;5000,0;93,5;84,17;1,33;79,81;1433799,56
Amontada;CE;Nordeste;2018,5;43336,0;3053,5;2710,83;468833600,0;293,0;505000,0;39000,0;5166,67;1179,0;721,5;8,5;36,76;144019,24
Amorinópolis;GO;Centro-Oeste;2018,5;3207,67;277,83;232,17;64574200,0;46,17;56666,67;55000,0;54833,33;408,5;34,5;0,17;7,85;0,0
Amparo;PB;Nordeste;2018,5;2242,5;333,83;324,17;25112600,0;15,0;0,0;9833,33;0,0;122,0;34,0;0,17;18,38;57941525,69
Amparo;SP;Sudeste;2018,5;71942,0;25163,17;21553,67;4354652200,0;2,68;40000,0;50833,33;58000,0;445,6;823,0;5,17;161,45;296220875,95
Amparo de São Francisco;SE;Nordeste;2018,5;2380,0;377,17;353,83;29746200,0;22,0;275000,0;833,33;0,0;35,1;37,5;1,17;67,81;0,0
Amparo do Serra;MG;Sudeste;2018,5;4776,0;403,33;335,83;47102200,0;58,33;3333,33;3500,0;3666,67;145,9;52,0;0,67;32,73;0,0
