Municipio;UF;Regiao;Ano;Populacao;PessoalOcupado;PessoalAssalariado;PIB;QtEmpresas;AreaPlantada_h;VlProducaoAgricola;VlProducaoPecuaria;Area;NrNascimentos;NrObitosInfantis;povoamento;Exportacoes_R$
Moeda;MG;Sudeste;2018,5;4933,67;1728,67;1438,17;61717800,0;92,0;0,0;4000,0;4500,0;155,1;54,17;1,0;31,81;18227,12
Moema;MG;Sudeste;2018,5;7525,17;1046,0;789,67;110984200,0;218,67;0,0;5833,33;42333,33;202,7;81,5;0,67;37,12;10055,49
Mogeiro;PB;Nordeste;2018,5;13279,5;932,0;805,67;134604800,0;76,83;40000,0;2666,67;4500,0;193,9;205,5;2,83;68,49;0,0
Mogi Guaçu;SP;Sudeste;2018,5;151250,5;45272,5;39463,0;5762951200,0;4,19;553333,33;434166,67;14833,33;812,2;1,88;18,0;186,22;311933704,19
Moiporá;GO;Centro-Oeste;2018,5;1568,0;237,0;212,5;37404400,0;36,5;0,0;3666,67;2166,67;460,6;12,33;0,33;3,4;0,0
Moita Bonita;SE;Nordeste;2018,5;11370,0;845,17;676,0;170081000,0;137,0;26666,67;44333,33;4000,0;95,8;122,83;1,0;118,68;65777,24
Moji das Cruzes;SP;Sudeste;2018,5;442700,83;113509,17;97365,5;15582878000,0;12,33;16666,67;65333,33;50166,67;713,3;6,19;68,0;620,64;1752271355,99
Moji-Mirim;SP;Sudeste;2018,5;92991,0;31587,0;26777,33;4637745400,0;3,39;293333,33;421166,67;51833,33;497,8;314,87;6,5;186,8;428543214,32
Moju;PA;Norte;2018,5;81494,83;9815,83;9500,83;956975600,0;326,17;645000,0;469500,0;5500,0;9094,1;1,28;22,5;8,96;395625,25
Mojui dos Campos;PA;Norte;2018,5;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;274,67;4,67;0,0;0,0
Mombaça;CE;Nordeste;2018,5;43840,83;3037,83;2476,83;342421200,0;574,0;481666,67;20500,0;47666,67;2119,5;489,5;6,0;20,68;44652,37
Mombuca;SP;Sudeste;2018,5;3488,0;562,5;463,83;96144400,0;83,5;53333,33;49333,33;1500,0;133,7;53,17;0,5;26,09;994,0
Mondaí;SC;Sul;2018,5;11682,67;2877,67;2487,83;668561800,0;405,0;58333,33;64333,33;46666,67;201,0;121,83;2,67;58,12;3556985,45
Mongaguá;SP;Sudeste;2018,5;56048,17;6634,0;5450,67;1060688400,0;1,14;73333,33;1166,67;0,0;142,1;737,5;10,83;394,43;282276,12
Monjolos;MG;Sudeste;2018,5;2252,0;243,5;217,17;34945400,0;30,5;0,0;2500,0;11833,33;650,9;22,83;0,0;3,46;0,0
Monsenhor Gil;PI;Nordeste;2018,5;10512,33;711,33;626,33;95523800,0;88,67;41666,67;5166,67;666,67;568,7;129,0;2,5;18,48;0,0
Monsenhor Hipólito;PI;Nordeste;2018,5;7709,33;272,5;222,33;64717400,0;52,5;11666,67;16000,0;3500,0;401,4;89,0;2,0;19,21;0,0
Monsenhor Paulo;MG;Sudeste;2018,5;8701,5;1677,33;1428,33;188215800,0;189,17;36666,67;48000,0;16000,0;216,5;82,83;0,67;40,19;1023749,95
Monsenhor Tabosa;CE;Nordeste;2018,5;17162,83;1370,67;1236,33;133566200,0;128,17;103333,33;4500,0;4833,33;893,6;230,67;5,0;19,21;0,0
Montadas;PB;Nordeste;2018,5;5685,5;603,5;564,83;54185800,0;37,5;35000,0;2833,33;3333,33;31,6;89,33;3,5;179,92;697544,71
Montalvânia;MG;Sudeste;2018,5;15091,5;1361,5;1060,5;133075600,0;284,33;41666,67;38000,0;4500,0;1503,8;203,0;1,17;10,04;0,0
Montanha;ES;Sudeste;2018,5;19025,17;2824,17;2332,83;346327400,0;378,67;175000,0;105500,0;40666,67;1097,9;257,83;2,5;17,33;0,0
Montanhas;RN;Nordeste;2018,5;11326,67;653,33;599,17;101809800,0;56,33;0,0;3166,67;4166,67;82,2;172,5;1,83;137,79;0,0
Montauri;RS;Sul;2018,5;1481,0;396,0;280,17;57545000,0;82,83;50000,0;41166,67;44833,33;82,1;14,17;0,5;18,04;1144644,01
Monte Alegre;PA;Norte;2018,5;57540,0;3301,5;2962,5;684962000,0;256,17;423333,33;154000,0;5166,67;18152,5;1,09;18,5;3,17;142410,85
Monte Alegre;RN;Nordeste;2018,5;22456,17;2026,0;1866,83;223747400,0;150,83;0,0;4333,33;39500,0;211,3;282,33;3,0;106,28;1571000,91
Monte Alegre de Goiás;GO;Centro-Oeste;2018,5;8572,0;1152,83;983,17;87727800,0;55,33;15000,0;3333,33;2333,33;3119,8;99,0;1,33;2,75;0,0
Monte Alegre de Minas;MG;Sudeste;2018,5;21129,67;2581,83;2055,5;558803400,0;434,17;273333,33;469333,33;438000,0;2596,0;239,33;2,17;8,14;0,0
Monte Alegre de Sergipe;SE;Nordeste;2018,5;15139,17;872,0;784,33;150920000,0;74,83;8333,33;25166,67;51833,33;407,4;245,17;4,17;37,16;0,0
Monte Alegre do Piauí;PI;Nordeste;2018,5;10558,5;839,67;745,67;175472600,0;62,5;488333,33;376333,33;0,0;2417,9;189,33;2,83;4,37;546598,71
Monte Alegre do Sul;SP;Sudeste;2018,5;7994,83;1664,67;1234,0;183412800,0;342,83;18333,33;42333,33;5500,0;110,3;67,17;0,83;72,48;164005,27
