Ano;Populacao;PessoalOcupado;PessoalAssalariado;PIB;QtEmpresas;AreaPlantada_h;VlProducaoAgricola;VlProducaoPecuaria;Area;NrNascimentos;NrObitosInfantis;povoamento;UF;Municipio;Regiao;Exportacoes_R$
2017;42872,0;11678,0;10144,0;1541865000,0;1,353;40000,0;33000,0;0,0;268,1;646,0;7,0;159,91;SC;Guaramirim;Sul;178573253,04
2017;24023,0;5102,0;4368,0;827558000,0;553,0;700000,0;0,0;0,0;107,6;329,0;4,0;223,262;SP;Bom Jesus dos Perdões;Sudeste;56764568,16
2017;45311,0;7125,0;5707,0;841742000,0;1,272;30000,0;9000,0;0,0;440,7;473,0;2,0;102,816;SC;Laguna;Sul;7872883,279999999
2017;20639,0;2866,0;2223,0;582344000,0;550,0;100000,0;529000,0;48000,0;5667,9;271,0;2,0;3,641;MT;Nova Xavantina;Centro-Oeste;490905,36
2017;39779,0;8126,0;6991,0;1020955000,0;933,0;850000,0;19000,0;67000,0;26395,8;740,0;9,0;1,507;MT;Juína;Centro-Oeste;
2017;18886,0;5890,0;4926,0;577615000,0;686,0;60000,0;45000,0;21000,0;298,4;266,0;2,0;63,291;PR;Ampére;Sul;59483470,559999995
2017;91841,0;19600,0;15659,0;1609020000,0;2,651;300000,0;71000,0;26000,0;1258,8;1,141;24,0;72,959;MG;Caratinga;Sudeste;2386094,1599999997
2017;28546,0;5667,0;4788,0;804793000,0;656,0;80000,0;91000,0;9000,0;407,8;352,0;0,0;70,0;ES;Anchieta;Sudeste;18162504,32
2017;31794,0;5010,0;3952,0;616782000,0;736,0;80000,0;24000,0;7000,0;917,9;423,0;7,0;34,638;ES;Baixo Guandu;Sudeste;649928,32
2017;45904,0;5469,0;4281,0;735914000,0;879,0;20000,0;5000,0;4000,0;191,4;586,0;7,0;239,833;SP;Tremembé;Sudeste;56820306,0
2017;29038,0;2568,0;2160,0;560705000,0;291,0;210000,0;426000,0;0,0;593,4;474,0;4,0;48,935;ES;Sooretama;Sudeste;4081551,44
2017;162209,0;21852,0;17800,0;2558823000,0;2,924;640000,0;81000,0;8000,0;3227,3;2,443;33,0;50,262;BA;Jequié;Nordeste;42018333,919999994
2017;33876,0;8982,0;7717,0;2282042000,0;892,0;0,0;0,0;1000,0;117,5;363,0;2,0;288,306;BA;Conceição do Jacuípe;Nordeste;690781634,8
2017;28287,0;10741,0;9370,0;656405000,0;770,0;80000,0;3000,0;72000,0;630,7;367,0;5,0;44,85;MG;Cláudio;Sudeste;30217611,36
2017;2308,0;542,0;443,0;88589000,0;86,0;980000,0;7000,0;89000,0;148,4;22,0;1,0;15,553;RS;Paulo Bento;Sul;
