Ano,Regiao,UF,Municipio,PIB,Populacao,PIB_per_capita
2019,Nordeste,AL,Pilar,539244.0,35111.0,15358.263791974023
2019,Centro-Oeste,MT,Itaúba,188606.0,3802.0,49607.0489216202
2019,Nordeste,BA,Caetanos,89139.0,14542.0,6129.762068491266
2019,Centro-Oeste,MS,Ivinhema,1382579.0,23187.0,59627.33428214086
2019,Sudeste,ES,Marataízes,5286038.0,38499.0,137303.25462999038
2019,Sudeste,MG,Joaíma,144292.0,15432.0,9350.181441161225
2019,Sudeste,MG,Caetanópolis,274465.0,11624.0,23611.92360633173
2019,Sul,RS,Campos Borges,89064.0,3320.0,26826.506024096387
2019,Sudeste,SP,Cunha,267773.0,21547.0,12427.39128416949
2019,Sul,PR,Astorga,739017.0,26111.0,28302.899161273024
2019,Sudeste,MG,Santa Bárbara do Leste,95720.0,8147.0,11749.110101877992
2019,Sudeste,MG,Ubaporanga,135867.0,12471.0,10894.635554486407
2019,Sul,RS,Nova Alvorada,171645.0,3625.0,47350.3448275862
2019,Sudeste,ES,Conceição do Castelo,204069.0,12723.0,16039.377505305352
2019,Sudeste,MG,Alvinópolis,288330.0,15203.0,18965.335788989018
2019,Sul,SC,Laurentino,289932.0,6970.0,41597.130559540885
2019,Sudeste,SP,Registro,2096319.0,56322.0,37220.25141152658
2019,Norte,TO,Taguatinga,236755.0,16683.0,14191.392435413296
2019,Norte,PA,Pau DArco,88909.0,5483.0,16215.393033011125
2019,Sul,PR,Tamboara,120438.0,5120.0,23523.046875
2019,Sul,RS,Ponte Preta,59636.0,1547.0,38549.45054945055
2019,Sul,PR,Itaperuçu,515862.0,28634.0,18015.71558287351
2019,Norte,RO,Rio Crespo,111100.0,3764.0,29516.47183846971
2019,Nordeste,BA,Itaguaçu da Bahia,126542.0,14429.0,8769.977129392195
2019,Nordeste,PB,Boa Vista,145468.0,7051.0,20630.832506027517
2019,Sudeste,SP,Bálsamo,216529.0,9068.0,23878.363475959413
2019,Nordeste,CE,Paracuru,505684.0,35076.0,14416.80921427757
2019,Norte,PA,Mocajuba,378747.0,31136.0,12164.279290853034
2019,Sudeste,MG,Japaraíba,74318.0,4350.0,17084.59770114943
2019,Sudeste,ES,Santa Teresa,482396.0,23590.0,20449.173378550237
2019,Sudeste,MG,Maria da Fé,184068.0,14095.0,13059.098971266409
2019,Norte,AM,Humaitá,721855.0,55080.0,13105.573710965868
2019,Sudeste,MG,Botumirim,59070.0,6319.0,9347.998100965344
2019,Sul,SC,Guaraciaba,347379.0,10090.0,34428.04757185332
2019,Sudeste,MG,Cabo Verde,197753.0,14075.0,14049.946714031972
2019,Centro-Oeste,GO,Uruaçu,953670.0,40532.0,23528.81673739268
2019,Centro-Oeste,MS,Nova Alvorada do Sul,1542215.0,21882.0,70478.70395759071
2019,Centro-Oeste,MS,Sete Quedas,267443.0,10791.0,24783.89398572885
2019,Sudeste,SP,Guará,489557.0,21220.0,23070.546654099908
2019,Sudeste,MG,Cachoeira de Minas,373496.0,11547.0,32345.71750238157
2019,Sul,PR,Quitandinha,406977.0,19049.0,21364.743556092184
2019,Sul,PR,Santa Amélia,75996.0,3324.0,22862.815884476535
2019,Sudeste,SP,São Simão,455290.0,15322.0,29714.78919201149
2019,Sul,SC,Cordilheira Alta,299679.0,4453.0,67298.2259151134
2019,Nordeste,BA,Baixa Grande,156802.0,20468.0,7660.836427594294
2019,Nordeste,BA,Rio Real,965440.0,40732.0,23702.24884611608
