Ano;Populacao;PessoalOcupado;PessoalAssalariado;PIB;QtEmpresas;AreaPlantada_h;VlProducaoAgricola;VlProducaoPecuaria;Area;NrNascimentos;NrObitosInfantis;povoamento;UF;Municipio;Regiao;Exportacoes_R$
2016;5932,0;854,0;537,0;111190000,0;252,0;380000,0;86000,0;1000,0;185,0;80,0;0,0;32,06;SP;Campina do Monte Alegre;Sudeste;
2016;27505,0;5680,0;4778,0;554663000,0;671,0;30000,0;649000,0;99000,0;499,5;299,0;3,0;55,06;MG;Elói Mendes;Sudeste;10094814,08
2016;6193,0;668,0;580,0;62441000,0;83,0;0,0;3000,0;57000,0;414,8;59,0;2,0;14,93;SP;Silveiras;Sudeste;
2016;21279,0;3087,0;2669,0;403121000,0;290,0;0,0;4000,0;7000,0;937,5;272,0;2,0;22,7;RJ;Silva Jardim;Sudeste;
2016;4534,0;212,0;183,0;48551000,0;34,0;940000,0;0,0;4000,0;1559,1;43,0;1,0;2,91;TO;Pindorama do Tocantins;Norte;
2016;6041,0;1532,0;846,0;154265000,0;528,0;0,0;69000,0;4000,0;110,0;51,0;2,0;54,92;SP;Santo Antônio do Jardim;Sudeste;
2016;10101,0;2300,0;1569,0;268806000,0;522,0;530000,0;62000,0;19000,0;203,0;113,0;0,0;49,76;RS;Constantina;Sul;165634,48
2016;25853,0;1652,0;1345,0;191887000,0;397,0;0,0;0,0;0,0;3035,2;312,0;8,0;8,52;BA;Uauá;Nordeste;
2016;5878,0;790,0;663,0;225188000,0;126,0;0,0;8000,0;2000,0;2092,1;70,0;2,0;2,81;MG;Olhos-dÁgua;Sudeste;
2016;22251,0;1216,0;1089,0;219618000,0;114,0;60000,0;27000,0;61000,0;2325,4;204,0;2,0;9,57;BA;Guaratinga;Nordeste;
2016;99504,0;21497,0;17777,0;2519720000,0;2,81;0,0;7000,0;13000,0;1105,3;1,12;14,0;90,02;RJ;Itaperuna;Sudeste;6732668,72
