Ano,Regiao,NrObitosInfantis,povoamento,PIB_per_capita
2016,Centro-Oeste,6.390557939914163,33.0737982832618,31205.93168457078
2016,Sul,3.281144781144781,83.89607744107744,31523.78277741901
2017,Centro-Oeste,6.105150214592275,33.55304721030043,31690.96713631937
2017,Sul,3.393097643097643,84.5944276094276,32275.507093455573
2018,Centro-Oeste,6.225321888412017,34.40399141630901,33629.34510646698
2018,Sul,3.308922558922559,85.31138888888889,34936.97219138688
2019,Centro-Oeste,6.124463519313305,34.96047210300429,34705.17625098208
2019,Sul,3.3223905723905722,86.08308922558923,36433.99950027987
2020,Centro-Oeste,5.532188841201717,35.505708154506436,43256.15441596674
2020,Sul,2.8594276094276094,86.85063973063973,40792.469854886665
2021,Centro-Oeste,5.766094420600858,36.03545064377683,55587.95679745877
2021,Sul,2.882996632996633,87.57914141414142,53440.637657445135
