Ano,Regiao,PIB_per_capita
2016,Centro-Oeste,31205.93168457078
2016,Sul,31523.78277741901
2017,Centro-Oeste,31690.96713631937
2017,Sul,32275.507093455573
2018,Centro-Oeste,33629.34510646698
2018,Sul,34936.97219138688
2019,Centro-Oeste,34705.17625098208
2019,Sul,36433.99950027987
2020,Centro-Oeste,43256.15441596674
2020,Sul,40792.469854886665
2021,Centro-Oeste,55587.95679745877
2021,Sul,53440.637657445135
